source,target,weight
638511570,31545223,19
129004176,31545223,23
57025612,31545223,24
128293484,31545223,35
174955366,31545223,16
50597026,416031592,406
27115917,416031592,206
174955366,416031592,670
125387632,416031592,39
43102846,416031592,120
57025612,416031592,99
147337432,416031592,193
156037856,416031592,13
30104304,74488574,29
125387632,74488574,46
129004176,74488574,249
64581694,74488574,16
62510206,74488574,21
107305687,74488574,13
44338537,74488574,35
16064695,74488574,25
160504245,74488574,20
21991090,74488574,12
26490481,74488574,198
156037856,74488574,31
9244832,74488574,53
213749122,74488574,15
38746172,74488574,19
50597026,74488574,14
135377687,74488574,27
9679595,74488574,15
38594688,74488574,13
129004176,69239046,20
50686586,69239046,120
62510206,69239046,27
9244832,69239046,19
125387632,69239046,47
38594688,69239046,54
9528182,69239046,17
409760532,69239046,15
16064695,69239046,12
107305687,69239046,21
74488574,69239046,12
156037856,69239046,11
160504245,69239046,11
26490481,69239046,15
174592989,69239046,11
160504245,10386664,51
38746172,10386664,43
26490481,10386664,43
30104304,10386664,21
129004176,10386664,12
108268890,10386664,12
44338537,10386664,11
156037856,10386664,12
9244832,10386664,13
74488574,10386664,14
28369163,10386664,11
125387632,10386664,28
9679595,10386664,11
7010591,10386664,12
71672341,55970469,12
56040562,55970469,73
21991090,55970469,14
125387632,55970469,13
16064695,55970469,20
21991090,88239974,194
16064695,88239974,269
24538518,88239974,17
31545223,88239974,321
56040562,88239974,17
71672341,88239974,13
156037856,88239974,27
125387632,88239974,43
638511570,88239974,11
26490481,88239974,12
129004176,88239974,12
30104304,89041633,106
160504245,89041633,11
125387632,89041633,19
9679595,89041633,18
26490481,89041633,18
156037856,89041633,15
30104304,107536229,97
26490481,107536229,71
107305687,107536229,15
57025612,107536229,41
125387632,107536229,56
24538518,107536229,26
9679595,107536229,20
89041633,107536229,12
156037856,107536229,25
160504245,107536229,36
44338537,107536229,17
108268890,107536229,25
9244832,107536229,26
38746172,107536229,21
16064695,107536229,12
7010591,107536229,14
26490481,67802451,77
160504245,67802451,50
10386664,67802451,12
71672341,67802451,11
129004176,67802451,16
38746172,67802451,34
125387632,67802451,42
21991090,67802451,40
16064695,67802451,40
30104304,67802451,25
9244832,67802451,21
62510206,67802451,16
7010591,67802451,12
69239046,67802451,18
9679595,67802451,11
156037856,67802451,29
44338537,67802451,35
57317154,67802451,11
108268890,67802451,19
44335356,115608720,230
108268890,115608720,74
8641037,115608720,96
213749122,115608720,145
128293484,59965916,59
57025612,59965916,797
26490481,59965916,83
117783070,59965916,30
638511570,59965916,32
174955366,59965916,12
108268890,59965916,130
30104304,59965916,61
16064695,59965916,31
213749122,59965916,111
11692694,59965916,22
36138196,59965916,13
26819117,59965916,18
416031592,59965916,115
25604128,59965916,14
57317154,59965916,63
44338537,59965916,11
24538518,59965916,29
31545223,59965916,15
64581694,59965916,33
125387632,59965916,77
160504245,59965916,36
21991090,59965916,15
63493039,59965916,13
71672341,59965916,51
129004176,59965916,28
9244832,59965916,27
134766328,59965916,51
135377687,59965916,16
50597026,59965916,16
44335356,59965916,12
38746172,59965916,43
156037856,59965916,59
62510206,59965916,19
92113890,59965916,20
107536229,59965916,22
9679595,59965916,14
30104304,45098797,51
160504245,45098797,39
64581694,45098797,17
38746172,45098797,18
26490481,45098797,16
62510206,45098797,15
108268890,410965603,75
38594688,410965603,12
30104304,410965603,117
160504245,410965603,163
59965916,410965603,11
57317154,410965603,18
62510206,410965603,32
45098797,410965603,20
36138196,410965603,17
26490481,410965603,35
135052907,410965603,42
128293484,410965603,36
26819117,410965603,23
24538518,410965603,48
117783070,410965603,20
156037856,410965603,31
16064695,410965603,15
64581694,410965603,14
125387632,410965603,24
15027034,410965603,15
9244832,410965603,14
38746172,410965603,20
107305687,410965603,11
92113890,410965603,14
445529741,410965603,15
16677765,410965603,11
129004176,50465063,16
24538518,50465063,21
125387632,50465063,27
125387632,25259668,62
108268890,25259668,25
38746172,25259668,25
26490481,25259668,41
30104304,25259668,40
160504245,25259668,38
64581694,25259668,11
92113890,25259668,11
9244832,25259668,19
62510206,25259668,12
24538518,25259668,15
128293484,25259668,17
57025612,25259668,12
117783070,25259668,16
107536229,25259668,19
59965916,25259668,14
156037856,25259668,11
44338537,25259668,19
9679595,25259668,18
71672341,25259668,15
125387632,97552124,19
57317154,36483360,5419
9244832,36483360,133
30104304,36483360,299
62510206,36483360,57
59965916,36483360,122
50597026,36483360,22
108268890,36483360,248
213749122,36483360,117
57025612,36483360,102
128293484,36483360,120
117783070,36483360,70
125387632,36483360,170
38746172,36483360,221
26490481,36483360,522
107305687,36483360,13
88239974,36483360,21
32402794,36483360,17
156037856,36483360,201
24538518,36483360,215
9679595,36483360,62
135377687,36483360,37
7010591,36483360,31
107536229,36483360,32
29506118,36483360,12
25202416,36483360,21
27115917,36483360,15
129004176,36483360,115
16064695,36483360,63
16677765,36483360,16
25604128,36483360,26
21991090,36483360,48
64581694,36483360,55
15027034,36483360,13
44338537,36483360,96
416031592,36483360,17
71672341,36483360,30
25259668,36483360,20
92113890,36483360,51
160504245,36483360,183
31545223,36483360,36
174955366,36483360,32
638511570,36483360,24
43102846,36483360,15
36138196,36483360,25
74488574,36483360,20
410965603,36483360,25
101936909,36483360,15
44335356,36483360,15
67802451,36483360,27
45098797,36483360,12
26819117,36483360,23
11692694,36483360,11
125387632,119415848,102
38746172,119415848,521
26490481,119415848,2248
9244832,119415848,1013
32402794,119415848,478
160504245,119415848,246
30104304,119415848,137
36483360,119415848,52
24538518,119415848,64
107305687,119415848,450
92372244,119415848,16
129004176,119415848,109
9528182,119415848,11
108268890,119415848,45
57025612,119415848,23
135052907,119415848,14
62510206,119415848,51
135377687,119415848,33
61433001,119415848,25
44338537,119415848,51
44396269,119415848,55
156037856,119415848,43
59965916,119415848,20
7010591,119415848,213
92113890,119415848,17
10386664,119415848,24
9679595,119415848,92
38594688,119415848,11
638511570,119415848,13
128293484,119415848,27
74488574,119415848,25
57317154,119415848,26
15027034,119415848,11
64581694,119415848,15
67802451,119415848,17
164234001,138117005,28
133923936,138117005,249
164459256,138117005,13
148934000,138117005,51
102845970,138117005,12
81857784,138117005,13
114774737,138117005,12
128293484,38064706,11
125387632,38064706,28
129004176,38064706,21
131403189,38064706,120
64555493,38064706,40
92113890,38064706,13
160504245,673571250,34
74488574,673571250,13
26490481,673571250,54
36483360,673571250,39
57317154,673571250,15
125387632,673571250,52
129004176,673571250,26
44338537,673571250,13
156037856,673571250,27
119415848,673571250,17
38746172,673571250,41
108268890,673571250,46
10386664,673571250,12
9244832,673571250,15
67802451,673571250,26
128293484,673571250,13
135377687,673571250,14
92113890,673571250,12
638511570,673571250,12
30104304,673571250,24
57025612,673571250,14
30104304,20508512,332
89041633,20508512,31
7010591,20508512,14
26490481,20508512,63
160504245,20508512,50
125387632,20508512,35
21991090,20508512,17
9244832,20508512,20
62510206,20508512,11
16677765,20508512,15
410965603,20508512,11
119415848,20508512,16
108268890,20508512,27
38746172,20508512,88
36483360,20508512,45
24538518,20508512,43
